Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Patrick Mahomes (15809611),Patrick Mahomes,15809611,CPT,20100,KC@LV 11/22/2020 08:20PM ET,KC,28.29
WR,Tyreek Hill (15809612),Tyreek Hill,15809612,CPT,16500,KC@LV 11/22/2020 08:20PM ET,KC,19.8
TE,Travis Kelce (15809613),Travis Kelce,15809613,CPT,15900,KC@LV 11/22/2020 08:20PM ET,KC,19.88
QB,Derek Carr (15809614),Derek Carr,15809614,CPT,14700,KC@LV 11/22/2020 08:20PM ET,LV,17.89
RB,Josh Jacobs (15809615),Josh Jacobs,15809615,CPT,14400,KC@LV 11/22/2020 08:20PM ET,LV,17.88
QB,Patrick Mahomes (15809567),Patrick Mahomes,15809567,FLEX,13400,KC@LV 11/22/2020 08:20PM ET,KC,28.29
RB,Clyde Edwards-Helaire (15809616),Clyde Edwards-Helaire,15809616,CPT,12300,KC@LV 11/22/2020 08:20PM ET,KC,14.78
WR,Tyreek Hill (15809568),Tyreek Hill,15809568,FLEX,11000,KC@LV 11/22/2020 08:20PM ET,KC,19.8
TE,Travis Kelce (15809569),Travis Kelce,15809569,FLEX,10600,KC@LV 11/22/2020 08:20PM ET,KC,19.88
TE,Darren Waller (15809617),Darren Waller,15809617,CPT,10500,KC@LV 11/22/2020 08:20PM ET,LV,13.57
QB,Derek Carr (15809570),Derek Carr,15809570,FLEX,9800,KC@LV 11/22/2020 08:20PM ET,LV,17.89
RB,Josh Jacobs (15809571),Josh Jacobs,15809571,FLEX,9600,KC@LV 11/22/2020 08:20PM ET,LV,17.88
WR,Nelson Agholor (15809618),Nelson Agholor,15809618,CPT,9300,KC@LV 11/22/2020 08:20PM ET,LV,9.61
QB,Chad Henne (15809619),Chad Henne,15809619,CPT,9000,KC@LV 11/22/2020 08:20PM ET,KC,3.5
QB,Marcus Mariota (15809620),Marcus Mariota,15809620,CPT,9000,KC@LV 11/22/2020 08:20PM ET,LV,0
QB,Nathan Peterman (15809621),Nathan Peterman,15809621,CPT,9000,KC@LV 11/22/2020 08:20PM ET,LV,0
RB,Clyde Edwards-Helaire (15809572),Clyde Edwards-Helaire,15809572,FLEX,8200,KC@LV 11/22/2020 08:20PM ET,KC,14.78
WR,Sammy Watkins (15809622),Sammy Watkins,15809622,CPT,8100,KC@LV 11/22/2020 08:20PM ET,KC,10.9
WR,Henry Ruggs III (15809623),Henry Ruggs III,15809623,CPT,7500,KC@LV 11/22/2020 08:20PM ET,LV,7.19
DST,Chiefs  (15809624),Chiefs ,15809624,CPT,7200,KC@LV 11/22/2020 08:20PM ET,KC,8.33
TE,Darren Waller (15809573),Darren Waller,15809573,FLEX,7000,KC@LV 11/22/2020 08:20PM ET,LV,13.57
WR,Demarcus Robinson (15809625),Demarcus Robinson,15809625,CPT,6600,KC@LV 11/22/2020 08:20PM ET,KC,6.75
WR,Hunter Renfrow (15809626),Hunter Renfrow,15809626,CPT,6300,KC@LV 11/22/2020 08:20PM ET,LV,8.99
WR,Nelson Agholor (15809574),Nelson Agholor,15809574,FLEX,6200,KC@LV 11/22/2020 08:20PM ET,LV,9.61
QB,Chad Henne (15809575),Chad Henne,15809575,FLEX,6000,KC@LV 11/22/2020 08:20PM ET,KC,3.5
QB,Marcus Mariota (15809576),Marcus Mariota,15809576,FLEX,6000,KC@LV 11/22/2020 08:20PM ET,LV,0
QB,Nathan Peterman (15809577),Nathan Peterman,15809577,FLEX,6000,KC@LV 11/22/2020 08:20PM ET,LV,0
K,Harrison Butker (15809627),Harrison Butker,15809627,CPT,6000,KC@LV 11/22/2020 08:20PM ET,KC,8.78
K,Daniel Carlson (15809628),Daniel Carlson,15809628,CPT,5700,KC@LV 11/22/2020 08:20PM ET,LV,10.78
WR,Sammy Watkins (15809578),Sammy Watkins,15809578,FLEX,5400,KC@LV 11/22/2020 08:20PM ET,KC,10.9
WR,Mecole Hardman (15809629),Mecole Hardman,15809629,CPT,5400,KC@LV 11/22/2020 08:20PM ET,KC,9.57
WR,Henry Ruggs III (15809579),Henry Ruggs III,15809579,FLEX,5000,KC@LV 11/22/2020 08:20PM ET,LV,7.19
DST,Chiefs  (15809580),Chiefs ,15809580,FLEX,4800,KC@LV 11/22/2020 08:20PM ET,KC,8.33
WR,Demarcus Robinson (15809581),Demarcus Robinson,15809581,FLEX,4400,KC@LV 11/22/2020 08:20PM ET,KC,6.75
WR,Hunter Renfrow (15809582),Hunter Renfrow,15809582,FLEX,4200,KC@LV 11/22/2020 08:20PM ET,LV,8.99
K,Harrison Butker (15809583),Harrison Butker,15809583,FLEX,4000,KC@LV 11/22/2020 08:20PM ET,KC,8.78
K,Daniel Carlson (15809584),Daniel Carlson,15809584,FLEX,3800,KC@LV 11/22/2020 08:20PM ET,LV,10.78
WR,Mecole Hardman (15809585),Mecole Hardman,15809585,FLEX,3600,KC@LV 11/22/2020 08:20PM ET,KC,9.57
DST,Raiders  (15809630),Raiders ,15809630,CPT,3600,KC@LV 11/22/2020 08:20PM ET,LV,3.78
RB,Devontae Booker (15809631),Devontae Booker,15809631,CPT,3300,KC@LV 11/22/2020 08:20PM ET,LV,7.95
DST,Raiders  (15809586),Raiders ,15809586,FLEX,2400,KC@LV 11/22/2020 08:20PM ET,LV,3.78
RB,Devontae Booker (15809587),Devontae Booker,15809587,FLEX,2200,KC@LV 11/22/2020 08:20PM ET,LV,7.95
RB,Le'Veon Bell (15809632),Le'Veon Bell,15809632,CPT,2100,KC@LV 11/22/2020 08:20PM ET,KC,5.26
WR,Bryan Edwards (15809633),Bryan Edwards,15809633,CPT,1800,KC@LV 11/22/2020 08:20PM ET,LV,4.38
WR,Zay Jones (15809634),Zay Jones,15809634,CPT,1500,KC@LV 11/22/2020 08:20PM ET,LV,4.94
RB,Le'Veon Bell (15809588),Le'Veon Bell,15809588,FLEX,1400,KC@LV 11/22/2020 08:20PM ET,KC,5.26
WR,Bryan Edwards (15809589),Bryan Edwards,15809589,FLEX,1200,KC@LV 11/22/2020 08:20PM ET,LV,4.38
TE,Jason Witten (15809635),Jason Witten,15809635,CPT,1200,KC@LV 11/22/2020 08:20PM ET,LV,3.09
WR,Zay Jones (15809590),Zay Jones,15809590,FLEX,1000,KC@LV 11/22/2020 08:20PM ET,LV,4.94
RB,Jalen Richard (15809636),Jalen Richard,15809636,CPT,900,KC@LV 11/22/2020 08:20PM ET,LV,3.92
TE,Jason Witten (15809591),Jason Witten,15809591,FLEX,800,KC@LV 11/22/2020 08:20PM ET,LV,3.09
RB,Jalen Richard (15809592),Jalen Richard,15809592,FLEX,600,KC@LV 11/22/2020 08:20PM ET,LV,3.92
RB,Darrel Williams (15809637),Darrel Williams,15809637,CPT,600,KC@LV 11/22/2020 08:20PM ET,KC,3.88
RB,Darrel Williams (15809593),Darrel Williams,15809593,FLEX,400,KC@LV 11/22/2020 08:20PM ET,KC,3.88
RB,Alec Ingold (15809638),Alec Ingold,15809638,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,3.11
TE,Foster Moreau (15809639),Foster Moreau,15809639,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,4.1
WR,Byron Pringle (15809640),Byron Pringle,15809640,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,3.52
RB,Anthony Sherman (15809641),Anthony Sherman,15809641,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,1.92
TE,Deon Yelder (15809642),Deon Yelder,15809642,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,1.5
TE,Nick Keizer (15809643),Nick Keizer,15809643,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,0.91
RB,Darwin Thompson (15809644),Darwin Thompson,15809644,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,1.05
RB,Theo Riddick (15809645),Theo Riddick,15809645,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,1.3
WR,Marcus Kemp (15809646),Marcus Kemp,15809646,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,0.7
TE,Ricky Seals-Jones (15809647),Ricky Seals-Jones,15809647,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,0
TE,Derek Carrier (15809648),Derek Carrier,15809648,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,0
TE,James Winchester (15809649),James Winchester,15809649,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,0
WR,Rico Gafford (15809650),Rico Gafford,15809650,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,0
WR,Gehrig Dieter (15809651),Gehrig Dieter,15809651,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,0
WR,Keelan Doss (15809652),Keelan Doss,15809652,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,0
WR,Tyrell Williams (15809653),Tyrell Williams,15809653,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,0
TE,Nick O'Leary (15809654),Nick O'Leary,15809654,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,0
RB,Alec Ingold (15809594),Alec Ingold,15809594,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,3.11
TE,Foster Moreau (15809595),Foster Moreau,15809595,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,4.1
WR,Byron Pringle (15809596),Byron Pringle,15809596,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,3.52
RB,Anthony Sherman (15809597),Anthony Sherman,15809597,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,1.92
TE,Deon Yelder (15809598),Deon Yelder,15809598,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,1.5
TE,Nick Keizer (15809599),Nick Keizer,15809599,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,0.91
RB,Darwin Thompson (15809600),Darwin Thompson,15809600,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,1.05
RB,Theo Riddick (15809601),Theo Riddick,15809601,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,1.3
WR,Marcus Kemp (15809602),Marcus Kemp,15809602,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,0.7
TE,Ricky Seals-Jones (15809603),Ricky Seals-Jones,15809603,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,0
TE,Derek Carrier (15809604),Derek Carrier,15809604,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,0
TE,James Winchester (15809605),James Winchester,15809605,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,0
WR,Rico Gafford (15809606),Rico Gafford,15809606,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,0
WR,Gehrig Dieter (15809607),Gehrig Dieter,15809607,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,0
WR,Keelan Doss (15809608),Keelan Doss,15809608,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,0
WR,Tyrell Williams (15809609),Tyrell Williams,15809609,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,0
TE,Nick O'Leary (15809610),Nick O'Leary,15809610,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,0
